Title,Company,Location,Details
"Intern, Data Science",Kapitus,"New York, NY (Remote)","About the jobJob DetailsJob LocationNew York, NYRemote TypeFully RemotePosition TypeInternshipSalary Range$19.00 - $19.00 HourlyDescriptionAs a Data Science Intern at Kapitus, you'll support predictive modeling, data analysis, and explore analytics opportunities across various business domains. Gain hands-on experience with cutting-edge technologies and third-party data sources while working closely with our team. Ideal candidates are pursuing a PhD in quantitative disciplines, have a GPA of 3.5+, and possess a strong commitment to learning and detail-oriented analytical skills. Join us for a dynamic internship, where you'll make a real impact on data science in the financial industry.What You Will DoWorking closely with Predictive Modeling team and provide data analysis and support for modeling initiatives.Data visualization and/or predictive modeling on one or more Kapitus business domains, such as credit risk, marketing, collection, fraud, operation, or customer service.Supporting in-flight analytics use case projects, data exploration to evaluate ideas for new analytics use case opportunities.Other ongoing data analytics work as needed.Depending on the intern’s skills and time available, work may also include:Work with Experian Sandbox Big Data Platform.Acquisition and assessment of third-party available data sources (e.g., data from the Federal Reserve, US Census, Data.gov, USPS, Google Maps, etc.).What We Are Looking ForPursuing a PhD degree in Statistics, Mathematics, Computer Science or related quantitative discipline.Minimum GPA of 3.5.Not afraid of learning, providing feedback and to be given feedback on performance.Detail oriented with good presentation skills.Analytical capabilities being able to see things differently than others with substance and relevance.Company MissionAt Kapitus, we strive to empower every business to succeed by providing the best financing options when they need it and how they need it. Whether we are working with a business directly or through a strategic partner, we will work diligently to provide the most convenient, cost- effective and appropriate financing solution for a business’s needs. We promise to keep the best interests of our clients at the center of the financing process by operating with transparency, fairness, and integrity. We will continue to empower small businesses to make educated financial decisions, as we have since our inception in 2006.About KapitusKapitus is one of the most reliable and respected names in small business financing. As both a direct lender and a marketplace built with a trusted network of lending partners, we can provide small businesses the financing they need when, and how it is needed.We have spent the past 15 years building a culture that makes us excited to come to work in the morning. Our company is fast-paced, teammates need to be self-directed and have an internal motivation to do the right thing, even when the right thing takes a lot of hard work. We show our teammates our appreciation by offering great benefits, competitive pay, and solid opportunity for growth.Please Note: Consideration will be given to qualified remote candidates residing in states where Kapitus and/or one of its subsidiaries has an established physical presence"
Data Scientist,Stealth Startup,United States (Remote),"About the jobWe are one of the leading tech investment firms globally, with a track record of investing in some of the most valuable companies in the world.We are helping our early stage (Pre-Seed -> Series B) portfolio companies grow their teams.One of our portfolio companies is looking to hire a business-oriented data scientist to help accelerate their growth and product initiatives. They are focused on candidates with prior startup experience. They run a hybrid-work environment, and you will be expected to be in their office 3 days a week.While being good at what you do are table stakes, we believe the following will make you successful in a startup:Optimistic individuals are persistent, determined, and unwilling to give up in the face of adversity. They keep working towards a goal or objective despite setbacks or failures. Optimism often involves a combination of perseverance, resilience, and determination.Growth-oriented individuals embrace challenges, persist in the face of setbacks, and see effort as a key to success. They are willing to take risks and push themselves outside of their comfort zones. Growth-oriented individuals are curious, see learning as a lifelong process, and embrace feedback. They are willing to try new things, and are not afraid to change direction if something isn’t working.Effective individuals collaborate well, work consistently and purposefully towards achieving their goals, efficiently manage their time, and are self-motivated. They are able to identify problems, analyze them critically, and develop effective solutions.Please note that many early stage startups are unable to sponsor visas of any kinds (ie, no transfers, no sponsoring of student visas, or no sponsoring of new visas)."
Data Scientist,Insight Global,United States (Remote),"About the jobTitle: Data ScientistDuration: 12 month contract, potential to convert to FTE / extendLocation: REMOTE (CST or EST most likely)Schedule: Mon-Fri day shiftHourly Pay: $55-65/hrMust HavesBachelors DegreeExperience as a Data Scientist in an enterprise level environmentExperience creating Machine Learning /AI Algorithms (targeting 8yrs+ but client is flexible based on education & expertise)3yrs+ Cloud Experience (preferably GCP)Python scripting and knowledgeable of multiple librariesNice to HaveNeo4jGoogle CloudHealthcare / Health Insurance experiencePortfolio showcasing work examplesDay to DayInsight Global Health is hiring a Data Scientist to support one of our top Healthcare/Health Insurance clients. Day to Day responsibilities will include developing models / brainstorming ideas for new models, creating ML/AI algorithms, creating a relational database, and uncovering actionable business insights."
Data Scientist - [Full Remote],Joinrs US,United States (Remote),"About the jobOur goal is to help every recent graduate worldwide find a job that aligns with their ambitions: join us to make the aspirations of a community of over 650,000 users come true!Would you like to work as a 'Junior Data Scientist & AI' in a rapidly growing startup? If you graduated within the last 2 years (even without experience) and are ready for a new adventure, keep reading!We offer a6 months paid internship contract ($85,000 per year). You canwork remotely full-time,we'll provide you with a latest-generation MacBook Pro, and you cancontinually enhance your skillsthrough on-the-job training, online courses, and participation in international events.You will take care of:Implementation of Machine Learning Algorithms:You will have the opportunity to implement and test machine learning algorithms, contributing to the development of intelligent solutions for business challenges. Specifically, working alongside our tech team, you will be involved in Joinrs AI: our Artificial Intelligence model that assists our community in finding employment.Data Analysis and Modeling:You will participate in data analysis, developing predictive models and contributing to provide meaningful insights to enhance business decisions.Data Visualization:You will learn to create clear and informative data visualizations to effectively communicate complex results to various stakeholders. In particular, you will create interactive dashboards to showcase data and Key Performance Indicators (Data Visualization) to the team, clients, investors, and all key stakeholders.Optimization of Business Processes:You will collaborate in identifying and optimizing business processes through the application of data-driven solutions.Participation in Technological Brainstorming Sessions:You will be involved in brainstorming sessions to generate innovative ideas and contribute to identifying new opportunities in the field of Artificial Intelligence.Continuous Training and Updates on the Latest Trends:You will have access to continuous training programs to stay updated on the latest trends and advancements in the fields of Data Science and Artificial Intelligence.What We Offer:Working in the Joinrs team means being able to choose the best psychophysical conditions for tranquility and productivity. This translates into:Remote working and flexibility.You'll have the opportunity to work remotely full-time, but you can also use one of our offices.Dynamic work environment.Our offices remain open, providing shared workspaces, meeting rooms, break areas, and a bar with fresh fruit and various snacks. You'll also find a foosball table and a gaming station. We aim for an informal work environment that encourages shared moments, always respecting individual activities.Team building & fun.We frequently organize aperitifs, games, and leisure moments, which are integral parts of life at Joinrs, both inside and outside the office.Company welfare.We guarantee you a company welfare package that meets your expectations.Tech pack.You'll use advanced software and modern technologies, and you'll be provided with the latest-generation MacBook.Training.You'll always have a mentor in your Joinrs journey, acting as a reference for both technical and team aspects. We ensure constant professional growth with progressively increasing responsibilities. You can participate in industry events and training courses, along with continuous education on the best e-learning platforms.Social Impact.Your contribution will support thousands of recent graduates in finding the job they aspire to.Who We Are:Our mission is to support every recent graduate in achieving their ambitions,allowing them to embark on their new career with the optimism of a clear perspective.We are a united team that strongly believes in teamwork:together, we work, discuss, and achieve results that inspire us to reach increasingly ambitious goals.Our community has over650,000 members in Italy, the US, UK, Spain, Brazil, France, Portugal, and Germany, including250 companiessuch asPwC, Unilever, Gi Group, Danone, Siemens. It's growing exponentially - join us!Contract & Compensation:This position offers a 6-month internship contract with a salary of $85,000 yearly, aiming for a permanent contract.The annual base salary is $85,000 (USD)which will be prorated based on internship start and end date. Actual compensation offered to the successful candidate may vary from posted hiring based upon geographic location, work experience, education, and/or skill level, among other things.Salary reviews are scheduled every six months,with your compensation increasing rapidly as you gain experience and translate it into a more significant impact.Selection Process:CV Screening:The first step is a curriculum vitae (CV) screening (usually within 20 days of application).Phone Interview:The second step involves a 15-minute phone interview with our HR Manager.Video Interview:The final step is a video interview with both the HR Manager and your future supervisor, lasting at least 45 minutes.Why Join Our Team?Social Impact:You'll have the opportunity to support our community in realizing their ambitions, as well as your own.Successful Startup:Joinrs was selected among the top 10 startups globally at the Web Summit in Lisbon.Exponential Personal Growth:You'll have the opportunity for exponential growth, both in hard and soft skills, thanks to a training program based on on-the-job training and online support."
Data Analyst,Herr Alexander Wunsch,"New York, NY (Remote)","About the jobApply here Directly: https://bit.ly/4arTJEXCandidates applying on the above link will be considered. Click on the link and apply .This is your opportunity to start a lifelong career with unlimited opportunity. Discover the flexibility youve been searching for by taking a minute to finish our online application.Apply here Directly https://bit.ly/4arTJEXQualificationsNo experience, Willing to trainAbility to work within recognized turnaround timesMust have exceptional social skills and the ability to organize simultaneous tasksAbility to translate and use company policies and proceduresExcellent verbal and written communication abilitiesAbility to work both individually and within a group environmentAbility to stay organized, regard to information, follow guidelines and multi-task in a professional and effective mannerApply here Directly: https://bit.ly/4arTJEXRequirementsMust be able to carry out duties with or without reasonable accommodationPerform All Other Responsibilities As DesignatedAssist in developing a favorable, professional and safe work environmentApply here Directly: https://bit.ly/4arTJEXBenefitsExcellent weekly paySafe work environmentMultiple shifts are offered from early morning to night and no experience is required.You will have ample opportunity for growthPart-time offered - pick the days you wish to workA commitment to promote from withinApply here Directly: https://bit.ly/4arTJEX"
Data Scientists,Firstsource,United States (Remote),"About the jobSummarize the latest news articles by searching for recent news articles, summarizing key points, and instructing the model to generate a detailed response.You must be able to ensure the model accurately generates responses based on summaries.QualificationsBachelor's degree or equivalent experienceExpertise with content writing and researchJava Script, Sequel and Python"
Business Analytics Training & Internship,CONNECTMETA.AI,United States (Remote),"About the jobOeson is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in digital marketing, data science, data analytics, business analytics, cyber security, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Learn More:www.oesonlearning.comJob Summary:Oeson is offering a chance for eager individuals seeking to master Business Analytics from basic to advanced levels, all while engaging in real-world projects across the globe. The OGTIP is structured to provide a flexible work setting, allowing participants to collaborate with a diverse global team spanning Oceania, Asia, Europe, and the Americas.Projects You Will Work On:Excel project:Visualize hospital dataset using ExcelStatistical project:Analyze live stock price data to study company stock behavior.EDA case study:Apply EDA techniques in risk analytics for minimizing lending risk.Bike-sharing system analysis:Examine bike-sharing data and usage patterns.IPL data analysis:Analyze data from the Indian Premier League cricket tournament.Data findings communication:Present summarized results and key insights from projects.Global movie release:Plan to release a movie globally in 2024 by RSVP Movies.Roles & Responsibilities:- Collaborate with our esteemed data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Utilize machine learning and data mining techniques to extract insights from large datasets, including Excel interface structure identification. ·- Apply Python programming skills for Exploratory Data Analysis (EDA) in real business scenarios, focusing on risk analytics in banking and financial services. ·- Design scientific tests and optimize model performance using the latest modeling technologies like no-code databases and data mining.- Collaborate with a team of experts to build machine learning pipelines for diverse use cases in commerce, financial markets, and procurement.- Work with internal stakeholders to explore and understand business data, formulate hypotheses, and measure the impact of strategies using techniques like T-tests.-Solve specific challenges and develop innovative solutions by adapting modeling technologies like bike share systems.-Learn and apply complex analytical techniques using tools like Tableau.- Prepare reports and presentations to effectively communicate data analysis processes and results.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Note:This position is part of ourunpaid“Business Analytics Learn and Intern” under OGTIP. Upon application, our team will contact you to proceed with the application details and joining process.Location:Remote, USAContact:To explore the exciting world of Business Analytics with us, please contact us at hello@oeson.inThank you for considering Oeson Private Limited for your professional development in the field of business analytics. We look forward to welcoming you to our dynamic team."
Virtual Data Analyst / Entry level (Remote),ZAR IT Solutions,"Phoenix, AZ (On-site)","About the jobWe are seeking a highly motivated and detail-oriented Virtual Data Analyst to join our team. The Virtual Data Analyst will be responsible for analyzing large datasets, generating insights, and communicating findings to stakeholders. This is an entry-level position that offers the opportunity to work remotely and make a meaningful impact on our organization.ResponsibilitiesCollect and analyze large datasets using a variety of tools and techniquesIdentify trends, patterns, and anomalies in data and communicate findings to stakeholdersDevelop and maintain dashboards and visualizations to provide stakeholders with a clear understanding of data trendsAssist with the development of data-driven strategies to improve business outcomesCollaborate with cross-functional teams to support business needs and provide insightsQualificationsBachelor's degree in a related field such as Mathematics, Statistics, Economics, or Computer ScienceStrong analytical and problem-solving skillsProficiency in SQL, Python, and/or RKnowledge of data visualization tools such as Tableau or Power BIExcellent communication skills, both written and verbalAbility to work independently and as part of a teamBenefitsCompetitive salary and benefits packageFlexible work scheduleOpportunity for growth and advancement within the organizationCollaborative and inclusive work environmentWork from the comfort of your own homeAccess to professional development and training opportunitiesAt our organization, we value diversity and are committed to creating an inclusive environment for all employees. We believe that everyone has a unique perspective to bring to the table and that our differences make us stronger. If you are a data-driven individual with a passion for problem-solving and a desire to make a meaningful impact, we encourage you to apply for this exciting opportunity."
Junior Data Scientist,"Spry Methods, Inc.","Huntsville, AL (Hybrid)","About the jobWho We’re Looking For (Position Overview):Spry Methods is on the search for a Junior Data Scientist to join our team in Huntsville, AL.What Your Day-To-Day Looks Like (Position Responsibilities):Assist in the development and deployment of machine learning modelsAnalyze data to uncover patterns and insightsSupport data preprocessing and feature engineering activitiesCollaborate with cross-functional teams to implement data-driven solutionsWhat You Need to Succeed (Minimum Requirements):Top Secret Clearance is RequiredBachelor’s degree in Data Science, Statistics, or related field1-3 years of experience in data scienceProficiency with Python, R, and machine learning librariesStrong analytical and problem-solving skillsAWS Associate level certification highly desired"
Junior Data Scientist Intern,TAMKO,"Dallas, TX (On-site)","About the jobSummary of Essential Functions:To perform this job successfully, an individual must be able to perform each essential function satisfactorily. Reasonable accommodations may be made to enable qualified individuals with disabilities to perform the essential functions.Data Management: Collect, clean, and preprocess large datasets to prepare for analysis.Model Development: Utilize programming tools such as Python & AI Azure Tools for developing models.Analysis: Perform statistical analysis and data visualization to interpret the results of experiments and models.Collaboration: Work closely with the AI & Analytics team to integrate AI solutions into business processes and contribute to project planning and review sessions.Reporting: Assist in creating documentation and reports to communicate complex data findings to non-technical stakeholders.Position Requirements:High school diploma or GED equivalent.Microsoft Office product knowledge.Currently enrolled in an accredited college or university pursuing a bachelor’s or master’s degree in Computer Science or a related field.Present key findings of assigned researched to Directors and Managers internally at TAMKO using Microsoft PowerPoint.Conduct research on assigned topics by reaching out to business professionals, introducing yourself, explaining the purpose of the meeting, and guiding the conversation to gather the necessary information.Demonstrate strong business writing skills in professional emails, reports, and team chats.Physical Requirements/Work Environment:The physical demands described here are representative of those that must be met by an employee to perform the essential functions of this job. Reasonable accommodations can enable qualified individuals with disabilities to perform the essential functions.While performing the duties of this job the employee is frequently required to remain stationary for extended periods, as well as move around inside of the office and/or the production floors. The employee will frequently be required to operate a computer and other office machinery.The noise level in the work environment is usually moderate.This job description is subject to change at any time."
Data Scientist,US Anesthesia Partners,United States (Remote),"About the jobWe are in search of a talented Data Scientist with a robust background in applied data science within the healthcare sector. This role requires expertise in leveraging healthcare claims data and processes, with a strong emphasis on Revenue Cycle Management (RCM) Analytics, to derive actionable insights. The ideal candidate will possess exceptional analytical skills, the ability to navigate through ambiguity, and a strong commitment to transforming data into tangible results by moving up the data-to-wisdom ladder.Job Highlights:Analyze healthcare claims data to identify trends, anomalies, and opportunities for optimization, focusing on RCM analytics.Develop predictive models and algorithms to forecast and enhance healthcare billing and payment workflows.Collaborate with cross-functional teams to conceptualize and implement data-driven solutions addressing various business challenges.Apply statistical techniques and machine learning algorithms to extract actionable insights from complex healthcare datasets.Communicate findings and recommendations effectively to stakeholders through clear and concise presentations and reports, emphasizing data visualization skills to transform complex data into insightful visuals.Stay abreast of industry trends and best practices in healthcare analytics, data science, and RCM processes.Qualifications:Bachelor's degree in Data Science, Statistics, Mathematics, Computer Science, or related field or equivalent experience.Master's degree preferred.Minimum of 1 year of practical experience working with healthcare claims data and processes, with a focus on RCM.Knowledge of healthcare data standards, regulations, and interoperability frameworks (e.g., HIPAA, HL7) is required.Proficiency in programming languages such as R or Python for data analysis and modeling.Proficiency in SQL for querying databases.Ability to use data to answer questions, avoid statistical traps, and ascend the data-to-wisdom ladder.Strong problem-solving skills with the ability to work independently and in a team environment.Excellent communication and interpersonal skills, with a demonstrated ability to present data visually and effectively.Anesthesia Partners, Inc. provides equal employment opportunities (EEO) to all employees and applicants for employment without regard to race, color, religion, sex, gender identity, sexual orientation, pregnancy, status as a parent, national origin, age, disability (physical or mental), family medical history or genetic information, political affiliation, military service, or other non-merit based factors."
Data Scientist,ClearObject,United States (Remote),"About the jobAt ClearObject we transform data into valuable outcomes, and we are looking for aData Scientistto join our development team. You will work with our Digital Products team to employ various methods to transform data into useful data systems. For example, you’ll create algorithms for processing real-time vision analytics that are used in full production edge environments.. As a member of the Digital Products team, you’ll strive for efficiency by aligning data systems with product outcomes.To succeed as aData Scientistat ClearObject, you should have strong analytical skills and the ability to combine data from various sources. Data Scientist skills also include familiarity with several programming languages and knowledge of machine learning methodologies and tools.If you are detail-oriented, with excellent communication, organizational skills, and experience in this field, we’d like to hear from you.Core Role ResponsibilityTo perform this job successfully, an individual must be able to perform the following satisfactorily; other roles or responsibilities may be assigned.● Analyze and Organize large volumes of raw data● Perform exploratory data analysis and report on results● Develop and maintain datasets● Train and retrain machine learning models● Interpret trends and patterns● Conduct complex data analysis and report on results● Build machine learning models and prototypes● Combine data from multiple sources● Collaborate with engineers, full-stack and back-end developers, and the other product team members on several projectsDesired Skills & ExperienceThe requirements listed below are representative of the knowledge, skill, and/or ability required.● Strong background in statistics and mathematical modeling● Experience building predictive models● Experience building computer vision ML models is a plus● Familiarity with Kubernetes and Docker● Familiarity with managing CI/CD pipelines (e.g. Jenkins, CircleCI, Spinnaker, Gitlab)● Experience with modern data science toolkits such as Project Jupyter● Experience with PyTorch or Tensorflow● Technical expertise with data models, data mining, and segmentation techniques● Intermediate (or better) Python development experience● Proficient with SQL & NoSQL database design● BA/BS degree in Computer Science, IT, ML, Statistics or related technical field or equivalent practical experience; Master’s Degree is a plus● Desire and ability to learn new skills while improving current skillsNice to haves:● Experience with Google Cloud Platform and/or Amazon Web Services● Experience with data visualization tools such as Google Data Studio, Tableau, PowerBI, etc.● Data Science, Machine Learning or Cloud certifications are a plus (e.g. Google Cloud Platform Certified Professional Machine Learning Engineer)Additional InformationTo qualify, applicants must be legally authorized to work in the United States, and should not require, now or in the future, sponsorship for employment visa status.ClearObject is an equal opportunity employer. All qualified applicants will receive consideration for employment without regard to race, color, religion, sex, national origin, disability status, protected veteran status or any other characteristic protected by law.The level of this position will be determined based on the applicant's education, skills, and experience.ClearObject employees performing certain job functions may require access to technology or software subject to export or import regulations. To comply with these regulations, ClearObject may obtain nationality or citizenship information from applicants for employment. ClearObject collects this information solely for trade law compliance purposes and does not use it to discriminate unfairly in the hiring process."
Data Scientist,Curate Partners,United States (Remote),"About the jobWe are looking for a talented and experienced Data Scientist with a strong background in the healthcare industry. The ideal candidate will possess excellent skills in SQL and Python, and hold a Master's degree from an Ivy League or other large reputable institution. This role requires a deep understanding of data science methodologies and a passion for applying these skills to solve complex healthcare problems.Key Responsibilities:Analyze complex healthcare data sets to extract meaningful insights that drive decision-making and improve patient outcomes.Develop and implement predictive models and machine learning algorithms to address healthcare challenges and optimize processes.Collaborate with cross-functional teams, including clinicians, product managers, and engineers, to understand data requirements and deliver actionable insights.Design and conduct experiments to test hypotheses and validate models, ensuring the robustness and accuracy of results.Utilize SQL to query and manipulate large data sets from various sources, ensuring data integrity and quality.Write efficient and maintainable Python code for data analysis, modeling, and automation of data processing tasks.Communicate findings and insights effectively to both technical and non-technical stakeholders through reports, visualizations, and presentations.Stay current with the latest advancements in data science, machine learning, and healthcare analytics to continually enhance our capabilities.Qualifications:Master's degree in Data Science, Statistics, Computer Science, or a related field from an Ivy League or other large reputable institution.Proven experience in the healthcare industry, with a deep understanding of healthcare data, systems, and regulatory requirements.Proficiency in SQL for data querying, manipulation, and integration.Strong programming skills in Python, with experience in libraries such as pandas, numpy, scikit-learn, and matplotlib.Solid understanding of statistical methods, machine learning techniques, and data science best practices.Experience with data visualization tools and techniques to present complex data insights clearly and effectively.Excellent problem-solving skills and attention to detail, with the ability to manage multiple projects and deadlines.Strong communication and collaboration skills, with the ability to work effectively in a multidisciplinary team environment."
Data Analytics Training & Internship,Oeson | Learning,United States (Remote),"About the jobAbout the Company:Oeson is a leading IT corporation globally recognized for its expertise in providing top-notch IT and Ed-tech services. Specializing in digital marketing, data science, data analytics, UI-UX design, web development, and app development, we are dedicated to innovation, excellence, and empowering talents worldwide.Learn More:www.oesonlearning.comJob Summary:Oeson is seeking enthusiastic individuals who are looking to learn with us in the field of Data Analytics while working on live projects internationally. We are not just offering a flexible work environment but also offering to work with people in a global team.Projects You Will Work On:Excel project:Visualize hospital dataset using ExcelStatistical project:Analyze live stock price data to study company stock behavior.EDA case study:Apply EDA techniques in risk analytics for minimizing lending risk.Bike-sharing system analysis:Examine bike-sharing data and usage patterns.IPL data analysis:Analyze data from the Indian Premier League cricket tournament.Data findings communication:Present summarized results and key insights from projects.Global movie release:Plan to release a movie globally in 2024 by RSVP Movies.Roles & Responsibilities:- Collaborate with our esteemed data science experts to collect, clean, and analyze extensive datasets, honing skills in data preprocessing and visualization.- Utilize machine learning and data mining techniques to extract insights from large datasets, including Excel interface structure identification.- Apply Python programming skills for Exploratory Data Analysis (EDA) in real business scenarios, focusing on risk analytics in banking and financial services.- Design scientific tests and optimize model performance using the latest modeling technologies like no-code databases and data mining.- Collaborate with a team of experts to build machine learning pipelines for diverse use cases in commerce, financial markets, and procurement.- Work with internal stakeholders to explore and understand business data, formulate hypotheses, and measure the impact of strategies using techniques like T-tests.- Solve specific challenges and develop innovative solutions by adapting modeling technologies like bike share systems.- Learn and apply complex analytical techniques using tools like Tableau.- Prepare reports and presentations to effectively communicate data analysis processes and results.Qualifications:- Currently pursuing any degree showcasing a strong commitment to continuous learning and professional growth.- Exceptional written and verbal communication skills, vital for effective collaboration and articulation of complex ideas.- Demonstrated ability to work both independently and as part of a cohesive team, highlighting adaptability and strong teamwork capabilities.Note:This position is part of our unpaid. Upon application, our team will contact you to proceed with the application details and joining process.Location:Remote, United StateContact:To explore the exciting world of Data Analytics with us, please contact us at hello@oeson.in"
Data Analyst,Tree Top Staffing LLC,NAMER (Remote),"About the jobWe are looking for a Data Analyst who will play an extremely important role as your insights and findings will be crucial for growth and success. Some of the projects you will be working on include data processing, analysis, client contacts and more.Responsibilities:Execution of data validation, profiling, auditing and data cleansing activitiesCollaboration with internal and externals stakeholdersDevelopment, production and management of data quality reportsDevelopment of key metrics, rules and notifications to identify critical gapsIdentify opportunities for business process improvementsDevelop and maintain KPIs DashboardsPresent KPIs to Senior Management on a regular basisSupport all Marketing and Sales data requestsStandardization and automation of data collection and processingQualifications:Degree in Computer Science, Mathematics or similar fieldExperience as a Data Analyst or similar roleExperience with performing analysis in a database environmentExperience with using a range of data analysis toolsAdvanced analytics capability is a preferred skillIdeally experience with SAS, SPSS , R or similarUnderstanding of multiple regression analysesAdvanced Excel; Pivot Tables, Macros preferredAbility to handle large volume of dataFamiliarity with a scripting language (e.g. Python, Ruby)Sense of ownership and pride in your performance and its impact on company’s successCritical thinkerTeam playerGood time-management skillsGreat interpersonal and communication skills"
